$PRACTISCORE 1.682 RESULTS
$INFO Region:USPSA
$INFO PLATFORM IOS
$INFO PractiScore_Product: PractiScore (iOS)
$INFO PractiScore_Version:1.682
$INFO Match name:Trident Armory Standby to Fly Benefit Match and Maine State Championship
$INFO Match date:07/22/2022
$INFO Club Name:Hampden Rifle & Pistol Club, Inc.
$INFO Club Code:NE21
$INFO Multigun:0
$INFO Scoring:0
$INFO Classifiers:0
$INFO Match Level: Level II
Z 3.0
A Trident Armory Standby to Fly Benefit Match and Maine State Championship,Hampden Rifle & Pistol Club, Inc.,07/22/2022
D Comp,USPSA,FirstName,LastName,DQPistol,DQRifle,DQShotgun,Reentry,Class,Division,Match Points,Place Overall,Power Factor,Shotgun Division,Shotgun Power Factor,Shotgun Place Overall,Shotgun Entered,Shotgun Match Points,Rifle Division,Rifle Power Factor,Rifle Place Overall,Rifle Entered,Rifle Match Points,Aggregate,Aggregate Division,Aggregate Pistol Percent,Aggregate Pistol Points,Aggregate Place,Aggregate Rifle Percent,Aggregate Rifle Points,Aggregate Shotgun Percent,Aggregate Shotgun Points,Aggregate Total,Female,Age,Law,Military
E 31,A139430,Zach,Blackford,No,No,No,No,B,Carry Optics,668.0451,31,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 32,TY94392,Zack,Roberge,No,No,No,No,B,Carry Optics,661.2161,32,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 33,TY73663,Jay,Buckley,No,No,No,No,C,Carry Optics,649.2960,33,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 34,A98946,Jonathan,Lane,No,No,No,No,C,Carry Optics,645.0369,34,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 35,A129345,Tyler,Savage,No,No,No,No,B,Carry Optics,639.3412,35,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 36,A118203,Keith,Albee,No,No,No,No,B,Carry Optics,621.5548,36,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 37,TY104654,Ted,Parker,No,No,No,No,B,Carry Optics,613.8983,37,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 38,TY112122,Robert,Driscoll,No,No,No,No,C,Carry Optics,605.5711,38,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 39,TY132394,William,Hutchins,No,No,No,No,C,Carry Optics,598.6458,39,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 40,A119659,Robert,Smith,No,No,No,No,B,Carry Optics,597.8202,40,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 41,A73956,Howard,Mixon,No,No,No,No,B,Carry Optics,583.1144,41,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 42,TY136515,Jeffrey,Smalls,No,No,No,No,C,Carry Optics,572.5083,42,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 43,A121236,Cody,Williams,No,No,No,No,A,Carry Optics,562.0720,43,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,Yes
E 44,TY116611,Jeff,Cummings,No,No,No,No,C,Carry Optics,539.5428,44,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 45,A42330,Stephen,Ward,No,No,No,No,C,Carry Optics,520.8024,45,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 46,TY104803,Bobby,Hukki,No,No,No,No,B,Carry Optics,517.2077,46,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 47,A122347,Leonel,Klassen,No,No,No,No,C,Carry Optics,504.9573,47,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 48,A139058,Ryan,Knapton,No,No,No,No,C,Carry Optics,497.3464,48,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 49,TY125339,David,Smith,No,No,No,No,C,Carry Optics,464.8878,49,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,Yes,No
E 50,A142519,Brendan,Lyons,No,No,No,No,U,Carry Optics,464.2982,50,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 51,TY114784,Paul,Caradonna,No,No,No,No,C,Carry Optics,462.0816,51,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 52,TY124495,Linda,Pool,No,No,No,No,C,Carry Optics,450.5053,52,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 53,TY125182,Joe,Bellerose,No,No,No,No,C,Carry Optics,450.2978,53,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 54,A143502,Gregg,Neuendorf,No,No,No,No,U,Carry Optics,446.0691,54,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 55,A121402,Steve,Bedell,No,No,No,No,C,Carry Optics,436.4916,55,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 56,B70,Lee,Cabana,No,No,No,No,C,Carry Optics,415.5176,56,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 57,TY118872,David,Cox,No,No,No,No,C,Carry Optics,412.8665,57,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 58,A129668,Trevor,Cabral,No,No,No,No,U,Carry Optics,359.1992,58,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 59,A142971,Mark,Jensen,No,No,No,No,D,Carry Optics,333.1357,59,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 60,A140612,Matthew,Dyer,No,No,No,No,U,Carry Optics,302.8984,60,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 61,A96107,Sandra,Newman,No,No,No,No,D,Carry Optics,297.9321,61,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 62,A125238,Kevin,Lyons,No,No,No,No,U,Carry Optics,296.9723,62,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 63,A91903,Charles,Fisher,No,No,No,No,C,Carry Optics,279.2106,63,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Super Senior,No,No
E 64,TY109170,Sarah,Root,No,No,No,No,D,Carry Optics,125.0034,64,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 65,A91092,Anne,Davies,No,No,No,No,U,Carry Optics,117.3444,65,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,Yes,,No,No
E 66,A140477,Enock,Glidden,No,No,No,No,U,Carry Optics,80.4313,66,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 67,FY111945,Thomas,Peters,Yes,No,No,No,B,Carry Optics,,67,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 68,TY127098,Jonathan,Gettier,Yes,No,No,No,C,Carry Optics,,68,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 69,A113740,David,Boone,Yes,No,No,No,B,Carry Optics,,69,Minor,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 70,L2458,Todd,Jarrett,No,No,No,No,GM,Limited,1255.1481,1,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,Senior,No,No
E 71,A110413,Rob,Epifania,No,No,No,No,M,Limited,1114.2129,2,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 72,L4458,Bill,Duda,No,No,No,No,M,Limited,1070.1224,3,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 73,TY67962,Mac,Cashin,No,No,No,No,M,Limited,1006.7847,4,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,Yes,No
E 74,A68740,James,Fucci,No,No,No,No,GM,Limited,945.7812,5,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 75,TY76786,Robert,Lacroix,No,No,No,No,M,Limited,891.2007,6,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
E 76,A75538,Tony,Scarzello,No,No,No,No,A,Limited,862.8445,7,Major,Open,Major,,No,,Open,Minor,,No,,No,,,,,,,,,,No,,No,No
